"['#Date/Time of Update: 2020-03-09 18:02:22 GMT', '#Game ID', '#Game Date', '#Game Time', '#Schedule Status', '#Played Status', '#Current Inning', '#Current Inning Half', '#Current Intermission', '#Away Team ID', '#Away Team Abbr.', '#Away Team City', '#Away Team Name', '#Home Team ID', '#Home Team Abbr.', '#Home Team City', '#Home Team Name', '#Venue ID', '#Venue Name', '#Away Score Total', '#Home Score Total', '#Inning 1 Away Score', '#Inning 1 Home Score', '#Inning 2 Away Score', '#Inning 2 Home Score', '#Inning 3 Away Score', '#Inning 3 Home Score', '#Inning 4 Away Score', '#Inning 4 Home Score', '#Inning 5 Away Score', '#Inning 5 Home Score', '#Inning 6 Away Score', '#Inning 6 Home Score', '#Inning 7 Away Score', '#Inning 7 Home Score', '#Inning 8 Away Score', '#Inning 8 Home Score', '#Inning 9 Away Score', '#Inning 9 Home Score', '#Inning 10 Away Score', '#Inning 10 Home Score', '#Inning 11 Away Score', '#Inning 11 Home Score', '#Inning 12 Away Score', '#Inning 12 Home Score', '#Inning 13 Away Score', '#Inning 13 Home Score', '#Inning 14 Away Score', '#Inning 14 Home Score', '#Inning 15 Away Score', '#Inning 15 Home Score', '#Inning 16 Away Score', '#Inning 16 Home Score', '#Inning 17 Away Score', '#Inning 17 Home Score']"
"['', '43448', '2018-03-30', '02:05:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '124', 'LAA', 'Los Angeles', 'Angels', '125', 'OAK', 'Oakland', 'Athletics', '64', 'Oakland-Alameda County Coliseum', '2', '1', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '43449', '2018-03-30', '02:10:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '134', 'MIL', 'Milwaukee', 'Brewers', '139', 'SD', 'San Diego', 'Padres', '124', 'Petco Park', '8', '6', '2', '0', '0', '3', '0', '0', '0', '1', '1', '0', '0', '0', '0', '1', '0', '1', '5', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '43450', '2018-03-30', '02:10:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '136', 'SF', 'San Francisco', 'Giants', '137', 'LAD', 'Los Angeles', 'Dodgers', '113', 'Dodger Stadium', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '43452', '2018-03-31', '17:10:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '133', 'STL', 'St. Louis', 'Cardinals', '127', 'NYM', 'New York', 'Mets', '109', 'Citi Field', '2', '6', '0', '2', '0', '0', '0', '0', '1', '1', '0', '1', '0', '0', '0', '1', '1', '1', '0', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '43453', '2018-03-31', '18:10:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '126', 'WAS', 'Washington', 'Nationals', '135', 'CIN', 'Cincinnati', 'Reds', '116', 'Great American Ball Park', '13', '7', '3', '0', '0', '0', '1', '0', '1', '1', '1', '0', '0', '2', '1', '0', '2', '2', '4', '2', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '43454', '2018-03-31', '20:05:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '122', 'HOU', 'Houston', 'Astros', '121', 'TEX', 'Texas', 'Rangers', '115', 'Globe Life Park in Arlington', '9', '3', '0', '0', '3', '0', '1', '1', '0', '0', '1', '0', '1', '1', '2', '0', '1', '1', '0', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '43455', '2018-03-31', '20:05:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '124', 'LAA', 'Los Angeles', 'Angels', '125', 'OAK', 'Oakland', 'Athletics', '64', 'Oakland-Alameda County Coliseum', '8', '3', '1', '0', '0', '0', '2', '0', '0', '0', '1', '0', '3', '3', '0', '0', '0', '0', '1', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '43456', '2018-03-31', '20:07:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '114', 'NYY', 'New York', 'Yankees', '112', 'TOR', 'Toronto', 'Blue Jays', '127', 'Rogers Centre', '3', '5', '0', '1', '0', '0', '0', '1', '0', '0', '2', '0', '0', '1', '1', '0', '0', '2', '0', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '43457', '2018-03-31', '20:10:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '116', 'CLE', 'Cleveland', 'Indians', '123', 'SEA', 'Seattle', 'Mariners', '128', 'Safeco Field', '6', '5', '4', '0', '0', '1', '0', '2', '2', '0', '0', '0', '0', '2', '0', '0', '0', '0', '0', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '43458', '2018-03-31', '22:10:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '113', 'BOS', 'Boston', 'Red Sox', '115', 'TB', 'Tampa Bay', 'Rays', '130', 'Tropicana Field', '3', '2', '0', '0', '1', '0', '0', '0', '1', '0', '0', '0', '1', '1', '0', '0', '0', '1', '0', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
