,Game Date,Game Time,Away Team Abbr.,Away Team Name,Home Team Abbr.,Home Team Name,Away Score Total,Home Score Total,,Team Abbr.,Stadium Latitude,Stadium Longitude,ÆTime | EST = 0
147,4/15/16,00:15:00 GMT,CIN,Reds,STL,Cardinals,3,14,,,,,
148,4/15/16,02:05:00 GMT,KC,Royals,OAK,Athletics,4,2,,,,,
149,4/15/16,02:10:00 GMT,SF,Giants,LAD,Dodgers,3,7,,,,,
150,4/15/16,02:40:00 GMT,ARI,Diamondbacks,SD,Padres,3,2,,,,,
151,4/16/16,17:05:00 GMT,SEA,Mariners,NYY,Yankees,3,2,,,,,
152,4/16/16,18:10:00 GMT,LAA,Angels,MIN,Twins,4,6,,,,,
153,4/16/16,18:15:00 GMT,CIN,Reds,STL,Cardinals,9,8,,,,,
154,4/16/16,18:20:00 GMT,COL,Rockies,CHC,Cubs,2,6,,,,,
155,4/16/16,20:05:00 GMT,TOR,Blue Jays,BOS,Red Sox,2,4,,,,,
156,4/16/16,20:05:00 GMT,KC,Royals,OAK,Athletics,3,5,,,,,
157,4/16/16,20:10:00 GMT,NYM,Mets,CLE,Indians,5,7,,,,,
158,4/16/16,22:10:00 GMT,CWS,White Sox,TB,Rays,2,7,,,,,
159,4/16/16,23:05:00 GMT,MIL,Brewers,PIT,Pirates,0,5,,,,,
160,4/16/16,23:05:00 GMT,WAS,Nationals,PHI,Phillies,8,1,,,,,
161,4/16/16,23:10:00 GMT,ATL,Braves,MIA,Marlins,6,4,,,,,
162,4/16/16,23:10:00 GMT,DET,Tigers,HOU,Astros,6,3,,,,,
163,4/16/16,00:05:00 GMT,BAL,Orioles,TEX,Rangers,4,8,,,,,
164,4/16/16,00:40:00 GMT,ARI,Diamondbacks,SD,Padres,3,5,,,,,
165,4/16/16,01:10:00 GMT,SF,Giants,LAD,Dodgers,4,3,,,,,
166,4/17/16,17:05:00 GMT,SEA,Mariners,NYY,Yankees,3,4,,,,,
167,4/17/16,17:10:00 GMT,NYM,Mets,CLE,Indians,6,0,,,,,
168,4/17/16,17:10:00 GMT,CWS,White Sox,TB,Rays,2,3,,,,,
